flow_duration_ms,protocol_type,service,src_bytes,dst_bytes,packet_count,byte_rate,packet_rate,syn_count,ack_count,fin_count,rst_count,failed_logins,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_serror_rate,dst_host_rerror_rate,attack_category,is_intrusion
1482,TCP,HTTPS,852,4506,25,3615.14,16.87,2,25,1,0,0,0.824,0.035,47,65,0.037,0.008,Benign,0
332,TCP,HTTPS,875,2974,8,11589.88,24.09,1,8,1,0,0,0.848,0.109,19,43,0.008,0.023,Benign,0
27,TCP,HTTP,47,27,1,2730.63,36.9,1,0,0,1,0,0.097,0.731,236,4,0.694,0.799,PortScan,1
1752,UDP,DNS,1852,2093,13,2251.58,7.42,1,13,1,0,0,0.861,0.061,39,89,0.031,0.025,Benign,0
66,UDP,HTTP,161,12702,15,194599.09,226.93,1,15,1,0,0,0.823,0.025,47,73,0.032,0.039,Benign,0
499,ICMP,HTTPS,31406,4407,87,71755.16,174.31,1,87,1,0,0,0.861,0.136,38,68,0.046,0.004,Benign,0
3085,TCP,HTTPS,2714,7089,46,3177.53,14.91,1,46,1,0,0,0.813,0.073,47,66,0.023,0.005,Benign,0
2135,TCP,HTTP,5686,15239,14,9800.48,6.56,1,14,1,0,0,0.831,0.093,26,81,0.017,0.028,Benign,0
5824,TCP,SSH,382,510,49,153.16,8.41,5,44,1,2,3,0.908,0.047,42,23,0.207,0.571,BruteForce,1
2343,TCP,HTTPS,4834,19142,29,10232.6,12.38,1,29,1,0,0,0.846,0.122,18,34,0.03,0.025,Benign,0
377,UDP,HTTPS,1311,8387,45,25717.32,119.33,1,45,1,0,0,0.81,0.143,10,64,0.026,0.024,Benign,0
361,UDP,HTTP,522,203,27,2007.75,74.77,1,27,1,0,0,0.786,0.141,8,92,0.005,0.027,Benign,0
2667,TCP,DNS,3772,48327,22,19533.95,8.25,1,22,1,0,0,0.873,0.018,37,72,0.042,0.025,Benign,0
2429,TCP,HTTP,2185,45825,50,19764.52,20.58,1,50,2,0,0,0.944,0.04,32,66,0.031,0.036,Benign,0
1474,TCP,HTTPS,5971,2586,20,5804.9,13.57,1,20,1,0,0,0.975,0.119,44,74,0.021,0.025,Benign,0
21,TCP,HTTP,1829,16373,18,862654.03,853.08,2,18,1,0,0,0.89,0.128,21,56,0.048,0.032,Benign,0
1534,TCP,HTTPS,1319,7017,40,5433.8,26.07,1,40,2,0,0,0.93,0.134,33,78,0.04,0.023,Benign,0
1935,TCP,HTTPS,4167,16913,32,10893.49,16.54,1,32,1,0,0,0.898,0.121,21,61,0.021,0.03,Benign,0
348,UDP,HTTPS,4296,138739,17,410902.04,48.84,1,17,2,0,0,0.934,0.133,48,66,0.023,0.005,Benign,0
154,ICMP,HTTPS,12551,61,191,81842.96,1239.45,157,6,0,28,0,0.905,0.049,199,221,0.871,0.114,DoS_DDoS,1
111,UDP,HTTP,45222,51,586,407497.75,5274.53,503,55,0,216,0,0.93,0.049,237,235,0.964,0.179,DoS_DDoS,1
74,TCP,HTTP,8524,43,454,115614.04,6126.86,410,37,0,74,0,0.913,0.058,219,247,0.751,0.122,DoS_DDoS,1
4287,TCP,HTTPS,362,14699,10,3513.1,2.33,1,9,1,0,0,0.68,0.241,46,28,0.094,0.006,Botnet_C2,1
1197,TCP,SMTP,2384,3469,24,4889.32,20.05,2,24,1,0,0,0.899,0.063,13,72,0.044,0.007,Benign,0
16,UDP,HTTP,181,540,28,44782.61,1739.13,1,28,1,0,0,0.75,0.143,25,71,0.023,0.022,Benign,0
35,TCP,OTHER,109,0,3,3105.41,85.47,3,0,0,0,0,0.174,0.768,200,9,0.748,0.502,PortScan,1
3601,ICMP,HTTPS,9954,424,96,2881.9,26.66,1,96,1,0,0,0.9,0.144,12,99,0.033,0.031,Benign,0
33,TCP,OTHER,46,0,1,1389.73,30.21,1,0,0,0,0,0.022,0.861,248,11,0.677,0.333,PortScan,1
31,TCP,OTHER,119,0,1,3826.37,32.15,1,0,0,0,0,0.095,0.92,226,5,0.824,0.5,PortScan,1
297,TCP,HTTPS,3295,16136,20,65402.22,67.32,1,20,1,0,0,0.879,0.09,45,59,0.038,0.023,Benign,0
132,TCP,HTTP,4342,87,275,33527.63,2081.76,218,19,0,68,0,0.946,0.074,245,194,0.746,0.161,DoS_DDoS,1
179,TCP,DNS,1609,2584,26,23411.5,145.17,1,26,1,0,0,0.865,0.04,13,39,0.019,0.037,Benign,0
382,TCP,HTTP,789,9756,21,27597.49,54.96,1,21,1,0,0,0.769,0.006,15,77,0.005,0.001,Benign,0
67,TCP,SSH,1166,38409,9,589791.36,134.13,2,9,1,0,0,0.872,0.103,3,13,0.036,0.007,Benign,0
2997,UDP,SSH,895,992,136,629.61,45.38,1,136,1,0,0,0.955,0.064,31,59,0.006,0.007,Benign,0
910,TCP,DNS,7044,10001,22,18728.71,24.17,1,22,1,0,0,0.864,0.094,3,18,0.037,0.037,Benign,0
1302,UDP,HTTPS,8422,19656,58,21563.63,44.54,1,58,1,0,0,0.985,0.092,45,67,0.037,0.013,Benign,0
1712,TCP,HTTPS,167,29068,11,17075.52,6.42,1,11,1,0,0,0.974,0.119,6,65,0.044,0.018,Benign,0
690,UDP,DNS,1598,361,21,2838.72,30.43,1,21,1,0,0,0.76,0.094,24,85,0.02,0.026,Benign,0
3930,TCP,HTTPS,5705,6409,36,3082.36,9.16,1,36,1,0,0,0.897,0.105,26,38,0.026,0.017,Benign,0
8701,TCP,SSH,411,125,56,61.6,6.44,2,54,1,3,13,0.901,0.075,27,27,0.204,0.287,BruteForce,1
2142,TCP,HTTP,453,1658,16,985.48,7.47,1,16,1,0,0,0.899,0.088,47,88,0.0,0.027,Benign,0
949,UDP,HTTP,296,203,29,525.76,30.56,1,29,1,0,0,0.929,0.129,10,81,0.023,0.016,Benign,0
2745,TCP,HTTP,78583,4809,11,30378.49,4.01,2,11,2,0,0,0.756,0.016,23,34,0.038,0.022,Benign,0
405,UDP,HTTPS,4973,6720,89,28864.48,219.7,1,89,1,0,0,0.854,0.026,39,57,0.012,0.009,Benign,0
169,TCP,HTTPS,1905,166651,44,996782.97,260.2,1,44,1,0,0,0.763,0.059,31,96,0.028,0.028,Benign,0
281,TCP,HTTP,5175,323,269,19558.88,956.95,245,1,0,77,0,0.976,0.02,244,197,0.84,0.193,DoS_DDoS,1
12,TCP,HTTPS,3100,55816,10,4869090.91,826.45,1,10,1,0,0,0.955,0.01,34,98,0.043,0.029,Benign,0
6702,TCP,TELNET,1236,220,21,217.25,3.13,3,18,1,3,3,0.831,0.025,21,22,0.227,0.34,BruteForce,1
2879,TCP,SSH,2467,510,22,1034.0,7.64,1,22,1,0,0,0.869,0.117,11,30,0.032,0.002,Benign,0
1118,TCP,DNS,3120,521,18,3256.42,16.1,1,18,2,0,0,0.794,0.104,16,49,0.037,0.011,Benign,0
26,TCP,SSH,105,0,2,4022.99,76.63,2,0,0,0,0,0.005,0.758,248,12,0.718,0.42,PortScan,1
1170,TCP,DNS,3372,1655,8,4296.21,6.84,1,8,1,0,0,0.968,0.128,29,32,0.027,0.026,Benign,0
50,UDP,HTTP,470,17048,75,349660.68,1497.01,1,75,1,0,0,0.835,0.144,8,9,0.023,0.008,Benign,0
185,UDP,HTTP,3691,66,359,20297.14,1939.49,277,32,0,36,0,0.911,0.024,236,204,0.724,0.034,DoS_DDoS,1
2441,UDP,HTTPS,3304,64941,152,27956.66,62.27,1,152,1,0,0,0.788,0.068,7,9,0.04,0.012,Benign,0
201,TCP,SSH,4376,36066,16,201103.93,79.56,2,16,1,0,0,0.876,0.109,22,89,0.014,0.015,Benign,0
1334,UDP,HTTP,4037,9423,15,10089.2,11.24,1,15,1,0,0,0.83,0.097,24,95,0.044,0.026,Benign,0
97,TCP,HTTPS,3576,4057,49,78609.68,504.63,1,49,2,0,0,0.974,0.146,5,26,0.026,0.021,Benign,0
3577,UDP,HTTP,3728,13207,18,4734.28,5.03,1,18,1,0,0,0.76,0.06,1,84,0.023,0.011,Benign,0
365,ICMP,HTTPS,36526,25231,6,169150.92,16.43,2,6,1,0,0,0.965,0.138,1,71,0.023,0.015,Benign,0
5672,TCP,OTHER,193,3345,13,623.75,2.29,1,12,1,0,0,0.556,0.424,25,11,0.14,0.041,Botnet_C2,1
4,TCP,FTP,77,0,3,18780.49,731.71,3,0,0,0,0,0.085,0.706,203,10,0.707,0.438,PortScan,1
3282,TCP,HTTPS,544,4682,36,1592.27,10.97,1,36,2,0,0,0.91,0.042,45,65,0.033,0.024,Benign,0
373,TCP,HTTPS,15857,538,6,43942.64,16.08,1,6,1,0,0,0.934,0.004,14,79,0.047,0.007,Benign,0
136,TCP,HTTP,20608,151,528,152527.55,3879.5,399,52,0,109,0,0.927,0.011,228,152,0.988,0.15,DoS_DDoS,1
6,TCP,HTTPS,56203,37,1348,9219672.13,220983.61,1237,61,0,448,0,0.974,0.024,219,160,0.882,0.095,DoS_DDoS,1
1477,TCP,HTTP,2116,1118,67,2189.43,45.36,1,67,1,0,0,0.973,0.052,20,38,0.001,0.026,Benign,0
11404,TCP,HTTP,6311,282,7,578.13,0.61,1,7,1,0,0,0.866,0.049,11,29,0.044,0.004,Benign,0
590,TCP,HTTP,535,313,74,1437.04,125.4,1,74,1,0,0,0.875,0.062,41,88,0.009,0.0,Benign,0
221,UDP,HTTPS,14514,62,1931,65924.92,8733.6,1476,184,0,507,0,0.883,0.017,219,216,0.704,0.0,DoS_DDoS,1
4890,TCP,IRC,377,10401,10,2204.04,2.04,1,9,1,0,0,0.677,0.488,32,17,0.123,0.036,Botnet_C2,1
27,TCP,OTHER,113,0,3,4169.74,110.7,3,0,0,0,0,0.175,0.916,222,13,0.734,0.514,PortScan,1
41,TCP,OTHER,109,0,1,2652.07,24.33,1,0,0,0,0,0.095,0.878,236,14,0.891,0.534,PortScan,1
2915,TCP,SSH,1075,367,56,494.67,19.21,4,52,1,3,8,0.939,0.051,17,15,0.05,0.241,BruteForce,1
309,TCP,HTTP,2096,1123,18,10414.11,58.23,1,18,1,0,0,0.843,0.148,36,71,0.0,0.024,Benign,0
5080,TCP,HTTPS,953,8865,12,1932.64,2.36,1,11,1,0,0,0.645,0.155,9,15,0.114,0.024,Botnet_C2,1
4220,TCP,HTTPS,3120,4450,26,1793.8,6.16,1,26,1,0,0,0.778,0.137,29,80,0.006,0.004,Benign,0
6,TCP,OTHER,106,0,1,17377.05,163.93,1,0,0,0,0,0.018,0.815,248,4,0.679,0.407,PortScan,1
14,TCP,OTHER,85,0,2,6028.37,141.84,2,0,0,0,0,0.085,0.722,215,9,0.65,0.468,PortScan,1
883,UDP,HTTP,3493,146,1571,4120.71,1778.96,1265,44,0,531,0,0.993,0.079,238,244,0.922,0.164,DoS_DDoS,1
8,TCP,HTTP,55,0,3,6790.12,370.37,3,0,0,0,0,0.175,0.866,251,10,0.607,0.597,PortScan,1
1069,TCP,HTTPS,20077,12845,40,30794.13,37.41,1,40,1,0,0,0.885,0.042,37,78,0.033,0.026,Benign,0
92,TCP,HTTP,17962,480,445,200238.87,4831.7,419,38,0,161,0,0.956,0.001,210,204,0.853,0.168,DoS_DDoS,1
905,TCP,HTTP,907,1405,67,2554.41,74.02,1,67,1,0,0,0.916,0.064,27,98,0.034,0.008,Benign,0
4316,TCP,HTTP,214,18786,47,4402.12,10.89,1,47,1,1,0,0.755,0.045,10,48,0.016,0.019,Benign,0
1894,UDP,HTTPS,488,44219,31,23603.29,16.37,1,31,1,0,0,0.957,0.051,14,93,0.036,0.028,Benign,0
3863,TCP,HTTP,1719,1196,22,754.58,5.69,1,22,2,0,0,0.908,0.129,23,58,0.025,0.018,Benign,0
57,TCP,HTTP,9753,11,1540,170998.25,26970.23,1220,120,0,408,0,0.914,0.029,227,241,0.776,0.035,DoS_DDoS,1
365,TCP,SSH,392,2185,276,7058.34,755.96,1,276,1,0,0,0.803,0.125,25,44,0.028,0.012,Benign,0
847,TCP,SSH,486,367,33,1006.96,38.96,4,29,1,3,8,0.917,0.05,76,39,0.164,0.599,BruteForce,1
2189,TCP,HTTPS,1373,273,7,751.91,3.2,1,7,1,0,0,0.934,0.038,32,74,0.037,0.022,Benign,0
3354,UDP,HTTPS,5716,4253,11,2972.18,3.28,2,11,1,0,0,0.948,0.089,24,31,0.002,0.026,Benign,0
5205,TCP,IRC,324,7424,11,1488.54,2.11,1,10,1,0,0,0.633,0.206,47,28,0.059,0.023,Botnet_C2,1
6871,TCP,SSH,713,693,56,204.63,8.15,2,54,1,3,6,0.839,0.072,23,6,0.16,0.582,BruteForce,1
6,TCP,DNS,3545,319,464,633442.62,76065.57,423,41,0,111,0,0.977,0.003,210,161,0.703,0.033,DoS_DDoS,1
2530,UDP,HTTP,964,14126,31,5964.19,12.25,1,31,1,0,0,0.953,0.021,28,71,0.016,0.037,Benign,0
1425,TCP,HTTPS,4362,260,20,3243.28,14.03,1,20,1,0,0,0.935,0.024,2,16,0.023,0.012,Benign,0
36,TCP,SSH,82,0,1,2271.47,27.7,1,0,0,0,0,0.033,0.769,214,6,0.715,0.375,PortScan,1
1336,UDP,HTTPS,9751,8867,26,13934.59,19.46,1,26,1,0,0,0.818,0.084,17,84,0.021,0.007,Benign,0
8,TCP,OTHER,86,0,3,10617.28,370.37,3,0,0,0,0,0.064,0.771,224,14,0.807,0.678,PortScan,1
587,TCP,HTTPS,37814,4569,88,72190.43,149.89,1,88,1,0,0,0.77,0.144,16,90,0.016,0.022,Benign,0
19587,TCP,SSH,1299,1035,54,119.16,2.76,5,49,1,1,12,0.86,0.078,42,7,0.246,0.35,BruteForce,1
52,TCP,HTTP,78253,76,1649,1503435.7,31650.67,1335,104,0,611,0,0.944,0.005,198,205,0.864,0.057,DoS_DDoS,1
1419,UDP,SSH,1565,21724,33,16411.11,23.25,1,33,1,0,0,0.925,0.038,20,41,0.024,0.034,Benign,0
327,TCP,HTTP,12947,12,396,39617.85,1210.64,344,1,0,131,0,0.955,0.004,206,240,0.821,0.032,DoS_DDoS,1
796,TCP,HTTPS,1646,34323,26,45181.51,32.66,1,26,1,0,0,0.774,0.06,19,69,0.05,0.029,Benign,0
